search_text,document_id,document_type,trade,certification_group,importance,selection_rule,certification_name,ncs_code,review_status,source_file
"직종 건축목공시공의 핵심 자격그룹은 건축목공 직접 자격이며 선택규칙은 하나 이상, 자격증은 건축목공기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00001,자격 요건,건축목공시공,건축목공 직접 자격,핵심,하나 이상,건축목공기능사,,구조화원본,직종별_자격요건.csv
"직종 건축목공시공의 핵심 자격그룹은 건축목공 직접 자격이며 선택규칙은 하나 이상, 자격증은 건축목공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00002,자격 요건,건축목공시공,건축목공 직접 자격,핵심,하나 이상,건축목공산업기사,,구조화원본,직종별_자격요건.csv
"직종 건축목공시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00003,자격 요건,건축목공시공,건축시공 관련 상위 자격,추천,하나 이상,건축기사,,구조화원본,직종별_자격요건.csv
"직종 건축목공시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00004,자격 요건,건축목공시공,건축시공 관련 상위 자격,추천,하나 이상,건축산업기사,,구조화원본,직종별_자격요건.csv
"직종 건축목공시공의 추천 자격그룹은 건축시공 관련 상위 자격이며 선택규칙은 하나 이상, 자격증은 건축일반시공산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00005,자격 요건,건축목공시공,건축시공 관련 상위 자격,추천,하나 이상,건축일반시공산업기사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 핵심 자격그룹은 철근·거푸집·콘크리트 직접 자격이며 선택규칙은 하나 이상, 자격증은 철근기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00006,자격 요건,철근콘크리트시공,철근·거푸집·콘크리트 직접 자격,핵심,하나 이상,철근기능사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 핵심 자격그룹은 철근·거푸집·콘크리트 직접 자격이며 선택규칙은 하나 이상, 자격증은 거푸집기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00007,자격 요건,철근콘크리트시공,철근·거푸집·콘크리트 직접 자격,핵심,하나 이상,거푸집기능사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 핵심 자격그룹은 철근·거푸집·콘크리트 직접 자격이며 선택규칙은 하나 이상, 자격증은 콘크리트기능사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00008,자격 요건,철근콘크리트시공,철근·거푸집·콘크리트 직접 자격,핵심,하나 이상,콘크리트기능사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 추천 자격그룹은 콘크리트·건축시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 콘크리트산업기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00009,자격 요건,철근콘크리트시공,콘크리트·건축시공 상위 자격,추천,하나 이상,콘크리트산업기사,,구조화원본,직종별_자격요건.csv
"직종 철근콘크리트시공의 추천 자격그룹은 콘크리트·건축시공 상위 자격이며 선택규칙은 하나 이상, 자격증은 콘크리트기사이다. 직종 관련성 근거이며 법적 필수 여부는 별도 확인한다.",cert-requirement-00010,자격 요건,철근콘크리트시공,콘크리트·건축시공 상위 자격,추천,하나 이상,콘크리트기사,,구조화원본,직종별_자격요건.csv
